,No;umur_rumah;jarak_terdekat_MRTstation;Jumlah_minimarket;latitude;longitude;harga_rumah_per_unit
89,90;23;3947.945;0;24.94783;121.50243;25.3
235,236;12.9;250.631;7;24.96606;121.54297;39.3
123,124;0;185.4296;0;24.9711;121.5317;45.5
72,73;32.5;424.5442;8;24.97587;121.53913;36.3
198,199;34;157.6052;7;24.96628;121.54196;39.1
146,147;0;185.4296;0;24.9711;121.5317;52.2
35,36;13.9;4079.418;0;25.01459;121.51816;27.3
31,32;29.6;769.4034;7;24.98281;121.53408;25
296,297;12.5;1144.436;4;24.99176;121.53456;34.1
259,260;17.7;837.7233;0;24.96334;121.54767;28.8
78,79;38.2;552.4371;2;24.97598;121.53381;29.8
359,360;5.6;2408.993;0;24.95505;121.55964;24.7
384,385;16.1;4066.587;0;24.94297;121.50342;12.9
43,44;34.4;512.7871;6;24.98748;121.54301;34.1
321,322;16.9;964.7496;4;24.98872;121.53411;37.7
61,62;5.3;259.6607;6;24.97585;121.54516;63.2
197,198;34.4;126.7286;8;24.96881;121.54089;48.2
182,183;13.5;2147.376;3;24.96299;121.51284;23.6
184,185;14.1;2615.465;0;24.95495;121.56174;21.8
124,125;9.9;279.1726;7;24.97528;121.54541;57.4
20,21;4.5;2275.877;3;24.96314;121.51151;29.3
143,144;13.6;492.2313;5;24.96515;121.53737;40.1
39,40;16.2;289.3248;5;24.98203;121.54348;46.2
279,280;2.6;1554.25;3;24.97026;121.51642;31.1
125,126;1.1;193.5845;6;24.96571;121.54089;48.6
53,54;13.3;492.2313;5;24.96515;121.53737;38.9
166,167;0;292.9978;6;24.97744;121.54458;73.6
202,203;38.3;642.6985;3;24.97559;121.53713;31.5
135,136;18.9;1009.235;0;24.96357;121.54951;20.8
30,31;25.9;4519.69;0;24.94826;121.49587;22.1
12,13;13;492.2313;5;24.96515;121.53737;39.3
82,83;13.2;150.9347;7;24.96725;121.54252;48.1
380,381;14.1;289.3248;5;24.98203;121.54348;53.3
86,87;1.8;1455.798;1;24.9512;121.549;27
183,184;17;4082.015;0;24.94155;121.50381;18.8
52,53;32.1;1438.579;3;24.97419;121.5175;27
